batchName,year,umId,majorTypeId,batchId,courseValue,univName,enrollId,courseGroup,lowScore,zbType,lowRank
本科普通批,2022,10532601,3,2,0,湖南大学(01),36607052,无限制,618,1,6248
本科普通批,2022,10532602,3,2,1,湖南大学(02),36607053,物理,619,1,6115
本科普通批,2022,10532603,3,2,1,湖南大学(03),36607054,"物理,化学",619,1,6115
本科普通批,2022,10532604,3,2,1,湖南大学(04),36607055,"物理,化学,生物",618,1,6248
本科普通批,2022,10532605,3,2,1,湖南大学(05),36607056,历史,625,1,5408
本科普通批,2022,10487601,3,2,0,华中科技大学(01),36607001,无限制,642,1,3533
本科普通批,2022,10487602,3,2,1,华中科技大学(02),36607002,物理,653,1,2465
本科普通批,2022,10487603,3,2,1,华中科技大学(03),36607003,"物理,化学,生物",662,1,1723
本科普通批,2022,10487604,3,2,1,华中科技大学(04),36607004,"物理,历史,地理",646,1,3136
本科普通批,2022,10487605,3,2,2,华中科技大学(05),36607005,"化学,生物",648,1,2940
本科普通批,2022,10487606,3,2,1,华中科技大学(06),36607006,"物理,化学,生物",622,1,5775
本科提前批A段,2022,10486607,3,1,1,武汉大学(07),36607495,政治,646,1,3136
本科普通批,2022,10486601,3,2,1,武汉大学(01),36606996,物理,654,1,2375
本科普通批,2022,10486602,3,2,2,武汉大学(02),36606997,"物理,化学",658,1,2033
本科普通批,2022,10486603,3,2,1,武汉大学(03),36606998,"物理,历史",656,1,2202
本科普通批,2022,10486604,3,2,1,武汉大学(04),36606999,历史,654,1,2375
本科普通批,2022,10486605,3,2,1,武汉大学(05),36607000,物理,634,1,4400
本科普通批,2022,10423601,3,2,0,中国海洋大学(01),36606899,无限制,614,1,6780
本科普通批,2022,10423602,3,2,1,中国海洋大学(02),36606900,物理,613,1,6912
本科普通批,2022,10423603,3,2,1,中国海洋大学(03),36606901,"物理,化学,生物",619,1,6115
本科普通批,2022,10423604,3,2,1,中国海洋大学(04),36606902,"化学,生物",600,1,8671
本科普通批,2022,10423605,3,2,0,中国海洋大学(05),36606903,无限制,609,1,7421
本科普通批,2022,10423606,3,2,1,中国海洋大学(06),36606904,物理,597,1,9101
本科普通批,2022,10423607,3,2,1,中国海洋大学(07),36606905,"物理,化学,生物",611,1,7169
本科提前批A段,2022,10422606,3,1,1,山东大学(06),36607488,政治,623,1,5653
本科普通批,2022,10422601,3,2,0,山东大学(01),36606895,无限制,628,1,5063
